2020-01-01,1,copain.57leucate,"1,00","0,38"
2020-01-02,1,philibon68,"1,00","0,38"
2020-01-02,1,59bd52,"1,47","0,39"
2020-01-02,6,Paco.0559,"7,86","0,00"
2020-01-03,1,09gmat,"2,57","0,42"
2020-01-04,1,1425laurence,"1,97","0,41"
2020-01-05,1,chrine42,"1,30","0,39"
2020-01-07,1,titi802009,"1,36","0,39"
2020-01-07,8,jola5092,"3,92","0,46"
2020-01-07,3,2011alexandre7,"5,72","1,22"
2020-01-09,1,4269bleu,"1,50","0,39"
2020-01-10,1,nbranger85,"2,97","0,44"
2020-01-10,5,ejp86liane,"6,56","0,54"
2020-01-11,1,fr.domi2012,"3,16","0,44"
2020-01-11,2,pastouriaux,"4,27","0,47"
2020-01-12,1,domdom0546,"2,97","0,44"
2020-01-15,1,raillot,"1,20","0,38"
2020-01-16,1,benopatr-l3xpgenw,"2,97","0,44"
2020-01-13,2,jlman58,"2,00","0,76"
2020-01-18,2,voris67,"2,90","0,43"
2020-01-18,1,adrien0_2,"2,57","0,42"
2020-01-18,1,danjou_7833,"2,47","0,42"
2020-01-18,3,melvyndesert,"4,57","0,48"
2020-01-19,1,titounettitounette,"1,50","0,39"
2020-01-20,8,jlman58,"7,87","0,58"
2020-01-20,1,Guynauti₀,"1,37","0,39"
2020-01-20,1,laure_mett,"1,87","0,40"
2020-01-20,1,titefouine911,"2,07","0,41"
2020-01-23,2,herhervanl,"3,52","0,45"
2020-01-23,1,pattouzil,"2,47","0,42"
2020-01-23,1,fr.domi2012,"1,27","0,39"
2020-01-25,1,jeanoel49,"2,97","0,44"
2020-01-26,1,lenoyellois,"2,17","0,41"
2020-01-26,2,brgi5224,"3,37","0,45"
2020-01-28,1,6041sergeb,"2,47","0,40"
2020-01-28,1,chrislarmor,"1,89","0,42"
2020-01-29,2,Guynauti₀,"2,08","0,41"
2020-01-30,1,cob92,"1,37","0,39"
2020-01-30,1,piedu21,"2,97","0,44"
2020-02-01,1,Adrien0₂,"1,27","0,39"
2020-02-01,3,jeanlouis1946,"6,96","0,55"
2020-02-01,10,leaut48,"2,67","0,43"
2020-02-01,13,pascalebichette,"3,57","0,45"
2020-02-01,5,schaa-fr2015,"6,29","0,53"
2020-02-01,6,herhervanl,"6,82","0,55"
2020-02-01,1,bernard1237,"2,69","0,00"
2020-02-02,1,koko6259,"2,77","0,43"
2020-02-02,1,alflad,"2,07","0,41"
2020-02-02,1,fr.domi2012,"1,97","0,41"
2020-02-02,1,mistrigri61,"1,87","0,40"
2020-02-02,14,Miccol_36,"3,37","0,45"
2020-02-03,10,pcsap,"5,86","0,00"
2020-02-03,1,filatel,"2,07","0,41"
2020-02-04,2,Marie-hmi-0,"1,87","0,69"
2020-02-04,1,Mounette-16071960,"1,40","0,39"
2020-02-04,1,salto2016,"1,40","0,39"
2020-02-04,1,adjyva,"1,67","0,40"
2020-02-04,2,jacques351,"1,77","0,00"
2020-02-07,1,Marie-hmi-0,"1,37","0,39"
2020-02-08,1,marall_287,"1,50","0,39"
2020-02-09,2,claude.berthet30,"2,97","0,44"
2020-02-09,1,Domi-9042,"1,97","0,41"
2020-02-12,1,jola5092,"2,47","0,42"
2020-02-12,4,herhervanl,"4,51","0,83"
2020-02-13,1,grfla25,"1,40","0,39"
2020-02-13,2,carencypa,"2,97","0,00"
2020-02-15,1,Jean-richardonon0,"1,40","0,39"
2020-02-14,1,dalhia13,"1,40","0,39"
2020-02-15,10,pascalebichette,"1,97","0,41"
2020-02-15,1,philat03,"1,87","0,40"
2020-02-15,1,copain.57leucate,"1,57","0,40"
2020-02-15,1,gilberzaja_0,"1,40","0,39"
2020-02-16,1,chalberty,"1,40","0,39"
2020-02-17,1,5953joseph,"1,17","0,38"
2020-02-17,1,jeroboam62,"1,85","0,40"
2020-02-17,6,noelvaure,"4,47","0,48"
2020-02-18,1,bernard1237,"3,66","0,00"
2020-02-19,,copain.57leucate,"2,50","0,00"
2020-02-21,2,fontcombe,"2,50","0,42"
2020-02-22,1,alainfelix0854,"1,40","0,39"
2020-02-23,1,h2.leinadh,"1,10","0,38"
2020-02-23,1,jlman58,"1,27","0,39"
2020-02-23,1,4365michel,"2,17","0,41"
2020-02-24,1,h2.leinadh,"1,50","0,39"
2020-02-24,1,chrislarmor,"1,87","0,40"
2020-02-24,1,raillot,"1,87","0,40"
2020-02-24,12,pascalebichette,"2,67","0,43"
2020-02-25,2,cachemisere54,"2,60","0,77"
2020-02-25,2,Chantalormea₀,"2,60","0,77"
2020-02-27,1,syljul_28,"7,47","0,57"
2020-02-27,6,philatelaude,"2,97","0,44"
2020-02-28,2,monober67,"3,67","0,80"
2020-02-28,1,egyptesissi73,"1,50","0,39"
2020-02-28,7,sulpicius1397,"6,32","0,00"
2020-02-29,1,adjyva,"5,47","0,51"
2020-03-01,1,K.alain.7,"1,67","0,40"
2020-03-01,1,3782philippe,"2,81","0,43"
2020-03-01,1,couta2014,"1,87","0,40"
2020-03-02,1,bernard1237,"3,76","0,00"
2020-03-02,1,Ledou-thier,"5,97","0,52"
2020-03-03,1,jeanlouis1946,"2,50","0,42"
2020-03-03,2,jlman58,"4,23","0,47"
2020-03-03,1,Grece_2009,"4,47","0,48"
2020-03-03,4,pascalebichette,"1,77","0,40"
2020-03-06,4,elocachou,"3,27","0,44"
2020-03-07,1,Grece_2009,"3,97","0,47"
2020-03-08,1,micmi_6672,"1,40","0,39"
2020-03-08,1,3782philippe,"2,68","0,43"
2020-03-09,1,h2.leinadh,"1,50","0,39"
2020-03-11,1,joelle9443,"1,40","0,39"
2020-03-11,1,avivarelli,"1,50","0,39"
2020-03-11,1,piedu21,"3,47","0,45"
2020-03-11,1,5953joseph,"1,07","0,38"
2020-03-11,1,alain7669,"1,77","0,40"
2020-03-11,1,nicolepauld,"1,77","0,40"
2020-03-12,1,molaylittry,"1,60","0,40"
2020-03-12,1,piedu21,"3,47","0,45"
2020-03-13,1,copain.57leucate,"1,60","0,40"
2020-03-13,1,Grece_2009,"1,27","0,39"
2020-03-14,1,fr.domi2012,"2,37","0,42"
2020-03-14,2,houxiaofu,"2,20","0,41"
2020-03-17,1,francois82100,"1,45","0,39"
2020-03-17,1,tpatrickhenri,"1,10","0,38"
2020-03-17,2,chantalormea_0,"3,00","0,78"
2020-03-18,3,pascalebichette,"3,47","0,45"
2020-03-19,5,amvap,"6,90","0,90"
2020-03-19,2,poulette1383,"6,97","0,55"
2020-03-19,3,jeanlouis1946,"7,62","0,57"
2020-03-21,2,titi802009,"1,67","0,40"
2020-03-22,1,fr.domi2012,"2,97","0,44"
2020-03-22,2,Ludmo-85,"2,80","0,43"
2020-03-22,5,raillot,"3,07","1,30"
2020-03-22,3,poutite,"6,79","0,55"
2020-03-23,1,chtidedemax,"3,47","0,45"
2020-03-24,1,fr.domi2012,"1,37","0,39"
2020-03-31,1,jersey99pascale,"2,05","0,41"
2020-03-31,2,jmc056,"4,37","0,83"
2020-04-01,1,rousseletyvan,"1,17","0,38"
2020-04-20,1,Jerdur_26,"1,30","0,39"
2020-04-22,2,uschy671008,"2,80","0,43"
2020-04-23,2,bernafr.yce7ou,"3,87","0,46"
2020-04-23,1,micmi_6672,"1,40","0,39"
2020-04-24,1,Mounette-16071960,"1,30","0,39"
2020-04-25,3,melsilla,"2,17","0,00"
2020-04-25,,amvap,"10,00","0,00"
2020-04-25,1,camillcrmad0,"2,73","0,43"
2020-04-26,1,robr0042.ixmy14b,"3,47","0,45"
2020-04-28,2,tchousolex,"2,40","0,42"
2020-04-29,1,nbranger85,"3,07","0,44"
2020-04-29,1,bb47600,"1,10","0,38"
2020-04-30,1,bowie800,"1,87","0,40"
2020-04-30,1,syljul_28,"1,30","0,39"
2020-04-30,3,bb47600,"4,00","0,47"
2020-05-01,1,jeanpault9049,"2,70","0,78"
2020-05-03,1,francigasnie0,"2,47","0,42"
2020-05-05,1,petanque936,"2,47","0,00"
2020-05-05,1,jersey99pascale,"2,47","0,42"
2020-05-05,1,281870,"3,06","0,44"
2020-05-07,1,titi802009,"1,56","0,40"
2020-05-08,1,nivacole78,"1,10","0,38"
2020-05-08,1,Xtophe-2013,"2,66","0,43"
2020-05-08,1,olivieheli0,"1,10","0,38"
2020-05-10,6,pascalebichette,"3,45","0,45"
2020-05-10,1,bianci62,"2,66","0,43"
2020-05-10,6,proue44,"2,97","0,44"
2020-05-12,1,Jerombouvie-0,"1,10","0,38"
2020-05-13,1,jola5092,"2,26","0,42"
2020-05-13,3,pcsap,"4,32","0,00"
2020-05-14,1,bb47600,"1,30","0,39"
